SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
JAMMU & KASHMIR,1980,84.10,171.60,136.80,36.10,61.40,106.90,161.90,68.70,57.80,28.00,47.30,57.10,1017.90,255.70,234.40,395.30,132.40
JAMMU & KASHMIR,1981,146.10,131.20,227.30,88.90,76.70,72.30,216.00,90.30,26.70,15.30,37.40,7.30,1135.50,277.30,392.80,405.30,60.10
JAMMU & KASHMIR,1982,91.90,139.00,222.40,128.70,104.60,42.00,89.60,134.50,33.30,64.20,55.90,96.00,1202.20,230.90,455.80,299.40,216.20
JAMMU & KASHMIR,1983,118.80,97.20,318.80,207.80,108.80,67.10,154.00,222.10,115.10,39.70,14.60,21.20,1485.20,216.00,635.40,558.20,75.60
JAMMU & KASHMIR,1984,33.60,181.20,90.50,128.20,52.30,63.20,159.60,234.70,96.40,2.00,45.40,70.20,1157.40,214.80,271.00,553.90,117.70
JAMMU & KASHMIR,1985,80.10,23.70,42.10,71.40,106.90,54.40,295.50,154.80,54.70,90.00,13.90,179.70,1167.10,103.90,220.40,559.40,283.50
JAMMU & KASHMIR,1986,20.90,110.90,235.00,163.70,72.40,63.50,230.80,217.90,36.90,45.50,164.10,159.50,1521.00,131.80,471.10,548.90,369.20
JAMMU & KASHMIR,1987,45.00,150.10,140.40,134.70,234.40,125.10,71.90,128.40,47.00,122.80,0.30,15.90,1216.00,195.10,509.50,372.50,139.00
JAMMU & KASHMIR,1988,78.20,155.50,280.20,46.80,39.90,76.30,413.80,165.70,308.60,5.40,7.00,93.60,1670.90,233.60,366.90,964.40,106.00
JAMMU & KASHMIR,1989,74.90,78.20,134.10,114.60,139.00,69.10,293.80,114.90,39.30,40.30,50.70,67.10,1216.00,153.10,387.70,517.10,158.10
JAMMU & KASHMIR,1990,110.20,206.50,309.80,98.40,28.60,69.10,193.30,133.50,115.60,38.60,10.50,259.70,1574.00,316.70,436.90,511.50,308.90
JAMMU & KASHMIR,1991,71.30,216.50,176.10,233.20,93.50,75.60,162.80,204.40,148.90,10.60,5.60,50.50,1448.80,287.80,502.70,591.60,66.70
JAMMU & KASHMIR,1992,161.90,91.20,194.70,86.80,110.70,44.60,168.80,306.10,226.60,22.60,36.40,27.60,1478.10,253.20,392.20,746.10,86.60
JAMMU & KASHMIR,1993,114.90,123.60,233.10,31.80,106.50,93.60,324.70,63.40,84.30,13.20,54.40,0.20,1243.80,238.50,371.40,566.00,67.80
JAMMU & KASHMIR,1994,139.90,133.00,82.30,136.60,99.20,107.90,344.70,329.10,88.60,32.40,2.70,236.00,1732.50,273.00,318.10,870.30,271.10
JAMMU & KASHMIR,1995,101.40,210.20,129.30,124.90,74.40,56.00,408.00,241.30,140.10,38.80,45.60,49.60,1619.60,311.60,328.50,845.40,134.10
JAMMU & KASHMIR,1996,127.50,115.70,213.60,85.40,125.50,182.00,136.00,441.50,52.30,96.40,25.80,18.80,1620.40,243.20,424.40,811.80,141.00
JAMMU & KASHMIR,1997,68.40,55.60,164.10,144.50,89.10,81.20,126.60,270.20,75.40,77.30,84.30,59.20,1295.90,124.00,397.70,553.40,220.80
JAMMU & KASHMIR,1998,75.00,297.20,185.40,192.80,75.10,59.30,161.00,131.10,97.90,49.20,1.80,0.00,1325.90,372.20,453.30,449.30,51.10
JAMMU & KASHMIR,1999,183.50,56.00,91.60,24.30,47.60,51.90,133.80,145.00,84.80,3.50,68.40,0.20,890.30,239.40,163.50,415.50,72.00
JAMMU & KASHMIR,2000,159.50,106.60,90.40,30.40,51.10,95.50,193.70,123.60,73.20,1.40,21.00,38.20,984.60,266.20,171.90,485.90,60.60
JAMMU & KASHMIR,2001,17.40,54.30,81.70,92.80,69.60,121.70,243.90,126.70,53.90,12.70,51.60,26.40,952.70,71.70,244.10,546.30,90.60
JAMMU & KASHMIR,2002,58.70,101.20,105.50,86.30,33.00,94.20,78.70,217.40,97.90,15.20,0.70,14.60,903.50,159.90,224.80,488.30,30.50
JAMMU & KASHMIR,2003,26.90,267.20,170.90,117.50,111.30,41.00,136.00,185.50,126.10,13.30,33.70,81.70,1311.10,294.20,399.70,488.50,128.80
JAMMU & KASHMIR,2004,176.00,70.60,21.20,118.90,87.50,95.20,118.00,77.90,40.50,73.30,23.30,42.40,944.90,246.60,227.60,331.80,138.90
JAMMU & KASHMIR,2005,296.00,403.50,189.70,64.90,92.00,41.60,440.30,77.70,50.00,14.60,21.80,0.50,1692.70,699.50,346.60,609.70,37.00
JAMMU & KASHMIR,2006,200.30,92.30,96.80,34.40,43.80,74.30,209.00,331.50,203.00,46.20,72.50,115.80,1519.80,292.50,174.90,817.80,234.50
JAMMU & KASHMIR,2007,12.30,116.70,259.30,15.00,65.60,143.90,132.40,196.80,33.00,1.60,0.00,47.00,1023.50,129.00,339.80,506.10,48.60
JAMMU & KASHMIR,2008,153.50,130.80,9.90,97.70,63.30,134.90,266.30,166.00,44.70,42.40,25.20,89.80,1224.50,284.20,170.80,612.00,157.40
JAMMU & KASHMIR,2009,120.30,117.90,63.70,113.50,64.30,64.10,NA,96.50,50.50,8.10,NA,NA,NA,238.20,241.50,NA,NA
JAMMU & KASHMIR,2010,30.90,142.20,34.90,63.90,128.30,67.40,137.30,253.20,65.00,25.00,13.60,36.10,997.90,173.20,227.10,522.90,74.70
JAMMU & KASHMIR,2011,43.40,211.60,97.80,89.00,32.40,72.50,81.60,131.20,72.00,19.40,12.90,23.80,887.60,254.90,219.20,357.30,56.10
JAMMU & KASHMIR,2012,150.90,95.80,45.20,86.60,48.90,32.60,118.80,264.90,106.70,15.70,10.80,57.80,1034.70,246.70,180.70,523.00,84.30
JAMMU & KASHMIR,2013,52.20,136.40,41.90,47.40,47.40,80.50,125.10,219.10,41.20,34.40,13.40,20.30,859.30,188.60,136.70,465.80,68.10
JAMMU & KASHMIR,2014,75.80,64.00,153.10,76.10,52.70,25.30,100.50,134.60,362.80,32.20,14.10,2.30,1093.40,139.80,281.90,623.20,48.50
JAMMU & KASHMIR,2015,27.90,187.20,341.40,173.30,64.60,121.40,233.20,129.20,130.20,87.10,38.10,39.30,1572.80,215.10,579.30,614.00,164.50
